replay_row,component,root_box_id,record_id,final_adjudication_requirement,freeze_route_kind,freeze_route_status,final_replay_status,final_replay_pass
38,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
39,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x51.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
40,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
41,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
42,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x51.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
43,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
44,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
45,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
46,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
47,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x50.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
48,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x50.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
49,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
50,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x50.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
51,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x50.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
52,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
53,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
54,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x50.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
55,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x50.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
56,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x51.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
57,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x51.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
58,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x51.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
59,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
60,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
61,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x50.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
62,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x50.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
63,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x51.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
64,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x51.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
65,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x51.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
66,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x51.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
67,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x50.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
68,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x50.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
69,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
70,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
71,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x50.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
72,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x50.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
73,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x51.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
74,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x51.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
75,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
76,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
77,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x31.d9y30.d10x51.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
78,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x31.d9y31.d10x50.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
79,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x31.d9y31.d10x50.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
80,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x31.d9y31.d10x50.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
81,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho1.d8x31.d9y31.d10x50.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
82,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x50.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
83,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
84,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x50.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
85,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x50.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
86,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x51.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
87,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x51.d11y50.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
88,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
89,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x50.d11y50.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
90,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x50.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
91,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x50.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
92,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x31.d9y30.d10x51.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
93,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x51.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
94,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x50.d11y51.d12rho1,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
95,TENSOR,D060-00010804,A062-D060-00010804.d1rho0.d2rho1.d3x30.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x50.d11y51.d12rho0,final_replay_only,p0_safe_inherited_support_area_record_freeze_candidate,frozen_inherited_candidate,pass_final_replay_only,True
